,X,Y,Z,RSSI
188,-3816.205507822918,3114.1864586195725,-104.29795400414913,-99.0
189,-3807.3090602556986,3112.6273899543125,-105.10402604074633,-93.0
190,-3797.321370854195,3110.8455497291898,-105.71084298505166,-92.0
191,-3776.5877915633127,3111.6124190029936,-106.12276044106747,-90.0
192,-3766.5136225167266,3114.2727311916424,-106.32740741180329,-91.0
193,-3756.187006176585,3117.9323587690046,-106.3316961985005,-87.0
194,-3746.447530541489,3122.480771894022,-106.33518576447291,-88.0
195,-3738.050384318829,3128.6958639192258,-106.53705261433448,-89.0
196,-3727.2137078834003,3145.4604050280245,-106.93512030871103,-88.0
197,-3724.1871570201633,3155.1211754664296,-107.33210289081035,-88.0
198,-3721.328271678844,3165.448486072821,-107.9286402081855,-86.0
199,-3718.1330610468367,3176.4417822229116,-108.12502273127448,-90.0
200,-3714.7699231419556,3187.5460541403063,-108.32142673682989,-90.0
201,-3711.994318644287,3198.7616855314095,-108.51741220547828,-90.0
202,-3709.548731818621,3221.30548660677,-108.70746035588641,-89.0
203,-3708.3676021018287,3233.0771233559512,-108.70217601932096,-89.0
204,-3707.270471946298,3244.7377442541383,-108.69687754633625,-90.0
205,-3706.0054103090815,3256.509339238103,-108.69159815859027,-93.0
206,-3703.558615697362,3281.051999151811,-108.48040964931522,-94.0
207,-3702.4601227658445,3293.6002635343116,-106.87456335654805,-97.0
208,-3701.444989941165,3305.925823539939,-104.06875916718381,-103.0
209,-3700.5134522947073,3318.2511026581383,-100.66288247187924,-97.0
210,-3699.5815116095837,3330.464891609273,-96.45704010507858,-99.0
211,-3697.458361242982,3366.2186709653292,-85.03945210965084,-99.0
212,-3697.0321312864044,3377.545673688531,-83.63369614252449,-95.0
213,-3696.522315973673,3389.095172029017,-83.02785010185568,-92.0
214,-3695.9290313016495,3400.8672772031587,-83.42191269132312,-92.0
215,-3697.1798599376293,3422.860164687441,-88.40939801793685,-99.0
216,-3698.8552312173915,3433.413403927993,-91.8027436094093,-97.0
217,-3701.7905611222513,3442.634805477696,-95.59606202146136,-98.0
218,-3706.069269170184,3450.85726335016,-99.18912819309817,-100.0
219,-3711.1871621193864,3458.746656750113,-102.18187422208545,-89.0
220,-3716.3060055730725,3464.5258355463498,-104.97575504352552,-92.0
221,-3724.4505785329625,3465.421389206182,-110.3705253304537,-102.0
222,-3938.358102576424,3609.715495991651,-158.76201566429864,-101.0
223,-3955.3996681325907,3604.2824262100817,-158.1545651907608,-100.0
224,-3961.362614193898,3597.844188118769,-158.15451344946615,-103.0
225,-3972.44982910221,3583.078917454408,-157.55595898726176,-99.0
226,-3978.6649712848907,3575.530009182958,-157.15633683953556,-95.0
227,-3985.2158673565377,3567.7590586775436,-156.5566146477095,-92.0
228,-3991.765958235287,3559.654041490823,-154.3570630774878,-92.0
229,-4005.3662631972043,3542.552278055418,-143.5580894899011,-90.0
230,-4011.9984236183254,3534.0012245705757,-137.95868014298605,-90.0
231,-4018.546712445432,3525.339086865347,-132.35936673035178,-89.0
232,-4025.0953796995104,3516.455073097394,-127.16015733539948,-90.0
233,-4031.8122391606507,3507.4603337996323,-122.3608838363848,-93.0
234,-4038.6970434228824,3498.5768760487626,-117.76142326295415,-92.0
235,-4052.550282587967,3480.254224253016,-107.56269321528248,-97.0
236,-4059.434972199893,3470.926264466865,-102.36341464939173,-105.0
237,-4066.487796422582,3461.5986374992062,-97.56400791201973,-103.0
238,-4076.232529264676,3432.4997891851986,-84.77355556797814,-99.0
239,-4072.87803087803,3423.9449134082342,-81.98030344173932,-103.0
240,-4068.76891613633,3415.056988145286,-80.1876978870895,-106.0
241,-3996.9626057553405,3327.7222711901327,-74.07930465065175,-101.0
242,-3988.153039939738,3319.8320126925237,-73.4889324140167,-93.0
243,-3980.5185879975566,3311.720185530509,-72.6979213053653,-100.0
244,-3974.8980395427448,3304.9422652281633,-72.10494519898371,-98.0
245,-3969.4440843166494,3300.052223065735,-71.11087446191331,-98.0
246,-3963.0669821754595,3294.8285116444895,-70.11754092172438,-97.0
247,-3948.2986917298513,3282.158241473636,-66.93323373075005,-96.0
248,-3940.6631927473763,3274.712303276684,-65.14178464230241,-98.0
249,-3932.9443524127773,3266.8224081724647,-63.950597168409125,-98.0
250,-3925.3938040450184,3258.821863680208,-63.359344027834,-99.0
